,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.03,0.16,0.11,-0.0,-0.0,-0.75,-0.03,-0.0,-1.77,-0.0,-0.03,-0.0
TP53,0.15,1.52,-0.01,-0.51,-0.0,-0.0,-0.01,-0.02,-1.02,-0.0,-0.27,-0.0
KRAS,0.13,-0.01,1.14,0.0,-0.0,-1.19,-0.01,0.0,-0.93,0.0,-0.0,-0.0
PIK3CA,0.0,-0.32,0.0,0.46,-0.0,-0.0,-0.0,-0.0,-0.01,-0.0,0.0,-0.0
FBXW7,-0.0,-0.0,-0.0,-0.0,-0.24,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
BRAF,-0.71,-0.0,-1.04,-0.0,0.0,0.13,0.0,-0.0,0.02,-0.0,0.0,0.0
ARID1A,-0.03,-0.01,-0.0,0.0,0.0,0.0,-0.38,-0.0,0.1,0.0,0.26,0.0
SOX9,-0.0,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.37,-0.0,0.0,0.0,-0.0
RNF43,-1.39,-0.65,-0.69,-0.01,0.0,0.02,0.07,-0.0,0.41,0.0,0.42,0.01
SMAD4,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.43,-0.0,-0.0
KMT2D,-0.02,-0.2,-0.0,0.0,0.0,0.0,0.24,0.0,0.61,-0.0,-0.57,0.01
PTPRS,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.01,-0.0,0.01,-0.69
Observation,0.71,1.96,0.64,0.05,0.0,0.15,0.16,0.0,0.0,0.02,0.0,0.0
