,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.38,0.34,0.0,-0.0,-0.0,-0.89,-0.24,0.0,-1.95,0.0,-0.33,-0.05
TP53,0.32,1.65,-0.0,-0.59,-0.0,-0.03,-0.33,-0.07,-1.03,-0.0,-0.34,-0.0
KRAS,0.0,-0.0,1.38,0.07,-0.0,-1.42,-0.12,0.0,-1.12,0.0,-0.13,-0.01
PIK3CA,-0.0,-0.39,0.09,0.54,0.0,-0.03,0.0,0.0,-0.0,-0.01,-0.0,-0.0
FBXW7,-0.0,-0.0,-0.0,0.0,0.01,0.09,-0.0,-0.0,0.0,-0.08,0.0,0.0
BRAF,-0.94,-0.02,-1.23,-0.03,0.09,0.38,0.0,-0.0,0.24,-0.0,0.02,0.0
ARID1A,-0.24,-0.25,-0.1,0.0,-0.0,0.0,-0.15,-0.0,0.43,-0.0,0.38,0.07
SOX9,0.0,-0.05,0.0,0.0,-0.0,-0.0,-0.0,-0.16,-0.0,-0.0,-0.0,-0.0
RNF43,-1.51,-0.64,-0.78,-0.0,0.0,0.19,0.29,-0.0,0.7,-0.0,0.58,0.1
SMAD4,0.0,-0.0,0.0,-0.01,-0.09,-0.0,-0.0,-0.0,-0.0,-0.25,0.0,-0.0
KMT2D,-0.31,-0.23,-0.11,-0.0,0.0,0.03,0.36,-0.0,0.85,0.0,-0.38,0.31
PTPRS,-0.05,-0.0,-0.01,-0.0,0.0,0.0,0.08,-0.0,0.15,0.0,0.36,-0.5
Observation,0.53,2.32,0.92,0.1,0.0,0.46,0.15,0.25,0.0,0.23,0.0,0.0
