,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.31,0.63,0.06,-0.0,0.0,-1.1,-0.01,-0.0,-1.69,-0.01,-0.01,-0.0
TP53,0.48,1.85,-0.01,-0.7,-0.0,-0.08,-0.14,-0.16,-1.02,-0.0,-0.36,-0.0
KRAS,0.07,-0.01,1.64,0.0,0.02,-1.48,-0.1,0.0,-1.06,0.0,-0.31,-0.01
PIK3CA,0.0,-0.41,0.0,0.87,0.0,-0.0,0.0,-0.0,-0.26,-0.04,0.0,0.0
FBXW7,0.0,-0.0,0.02,0.0,0.14,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
BRAF,-0.96,-0.05,-1.28,-0.0,-0.0,0.7,0.0,0.0,0.08,0.0,0.0,0.0
ARID1A,-0.01,-0.1,-0.08,0.0,0.0,0.0,-0.21,0.0,0.36,-0.0,0.52,0.19
SOX9,-0.0,-0.11,0.0,-0.0,0.0,-0.0,0.0,-0.12,-0.0,0.0,-0.0,-0.0
RNF43,-1.32,-0.7,-0.82,-0.2,0.0,0.07,0.24,-0.0,0.68,-0.0,0.54,0.12
SMAD4,-0.01,-0.0,0.0,-0.05,0.0,-0.0,-0.0,0.0,-0.0,-0.01,-0.0,-0.0
KMT2D,-0.01,-0.24,-0.26,0.0,0.0,0.0,0.46,-0.0,0.78,-0.0,-0.2,0.08
PTPRS,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.2,-0.0,0.17,-0.0,0.09,-0.45
Observation,1.01,2.18,0.76,0.27,-0.0,0.3,0.11,0.2,-0.0,0.35,0.01,0.0
