,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.38,0.34,0.22,-0.0,-0.0,-0.77,-0.09,-0.0,-1.84,-0.0,-0.1,-0.07
TP53,0.3,1.95,-0.02,-0.69,-0.0,-0.0,-0.0,-0.12,-1.02,-0.0,-0.28,-0.0
KRAS,0.27,-0.02,1.41,0.01,0.0,-1.22,-0.0,0.0,-0.95,0.0,-0.01,-0.0
PIK3CA,0.0,-0.45,0.01,0.8,-0.0,0.0,-0.0,-0.0,-0.12,-0.06,-0.0,0.0
FBXW7,0.0,-0.0,0.0,-0.0,0.14,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
BRAF,-0.7,-0.0,-1.06,0.0,-0.0,0.48,0.0,0.0,0.06,-0.0,0.0,-0.0
ARID1A,-0.09,-0.0,-0.0,-0.0,-0.0,0.0,-0.21,-0.0,0.39,0.0,0.73,0.0
SOX9,-0.0,-0.08,0.0,-0.0,-0.0,0.0,-0.0,-0.07,-0.0,-0.0,-0.0,0.0
RNF43,-1.44,-0.63,-0.7,-0.09,-0.0,0.05,0.26,-0.0,0.71,-0.0,0.55,0.01
SMAD4,-0.0,-0.0,0.0,-0.06,-0.0,-0.0,0.0,-0.0,-0.0,-0.08,-0.0,-0.0
KMT2D,-0.1,-0.21,-0.0,-0.0,-0.0,0.0,0.68,0.0,0.84,-0.0,-0.33,0.23
PTPRS,-0.07,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.02,-0.0,0.26,-0.42
Observation,0.87,2.19,0.86,0.19,0.05,0.52,0.25,0.01,0.01,0.3,0.02,0.0
