,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,1.97,0.35,0.14,-0.0,-0.0,-0.77,-0.01,-0.0,-1.59,-0.0,-0.28,-0.01
TP53,0.33,1.48,-0.07,-0.46,-0.0,-0.0,-0.23,-0.2,-0.85,-0.0,-0.21,-0.03
KRAS,0.16,-0.05,1.08,0.0,-0.0,-0.97,-0.0,0.0,-0.81,-0.0,-0.0,-0.0
PIK3CA,-0.0,-0.31,0.0,0.34,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FBXW7,0.0,0.0,-0.0,-0.0,-0.31,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
BRAF,-0.71,-0.0,-0.85,-0.0,0.0,0.06,0.0,-0.0,0.01,0.0,0.0,0.0
ARID1A,-0.01,-0.17,-0.0,0.0,-0.0,0.0,-0.37,0.0,0.12,-0.0,0.23,0.0
SOX9,-0.0,-0.13,0.0,0.0,-0.0,-0.0,0.0,-0.27,-0.0,0.0,0.0,0.0
RNF43,-1.21,-0.52,-0.6,-0.0,-0.0,0.01,0.09,-0.0,0.13,-0.0,0.47,0.04
SMAD4,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.62,-0.0,0.0
KMT2D,-0.25,-0.15,-0.0,0.0,0.0,0.0,0.23,0.0,0.66,-0.0,-0.52,0.0
PTPRS,-0.01,-0.03,-0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,-0.84
Observation,0.71,1.86,0.73,0.07,0.0,0.25,0.02,0.0,-0.0,0.0,0.0,0.0
