,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.51,0.51,0.18,-0.0,-0.0,-1.07,-0.2,0.05,-1.87,0.0,-0.35,-0.05
TP53,0.45,1.78,-0.0,-0.34,0.0,-0.1,-0.16,-0.31,-0.92,-0.0,-0.46,-0.02
KRAS,0.22,-0.0,1.46,0.29,-0.05,-1.4,-0.02,0.0,-0.84,0.01,-0.23,-0.0
PIK3CA,-0.0,-0.24,0.29,0.68,-0.0,-0.0,0.07,-0.0,-0.01,-0.28,-0.0,-0.0
FBXW7,-0.0,0.0,-0.05,-0.0,0.22,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.12
BRAF,-0.92,-0.06,-1.15,0.0,-0.0,0.53,0.0,0.0,0.4,0.17,0.2,0.0
ARID1A,-0.2,-0.12,-0.02,0.1,-0.0,0.0,-0.1,-0.0,0.66,0.0,0.27,0.28
SOX9,0.06,-0.2,0.0,-0.0,-0.0,-0.0,-0.0,-0.02,-0.0,-0.0,0.01,-0.02
RNF43,-1.47,-0.54,-0.58,-0.01,-0.0,0.3,0.42,-0.0,0.75,0.0,0.75,0.1
SMAD4,-0.0,-0.0,0.01,-0.25,-0.0,0.15,0.0,-0.0,0.0,0.05,-0.01,-0.0
KMT2D,-0.35,-0.3,-0.18,-0.0,0.0,0.19,0.23,0.01,1.05,-0.01,-0.17,0.3
PTPRS,-0.06,-0.02,-0.0,-0.0,0.14,0.0,0.3,-0.01,0.16,-0.0,0.38,-0.34
Observation,0.47,2.67,1.17,0.36,0.01,0.65,0.37,0.31,0.0,0.01,0.0,0.07
