,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.47,0.32,0.0,-0.0,0.0,-1.11,-0.0,-0.0,-1.92,-0.17,-0.06,-0.01
TP53,0.33,1.93,-0.29,-0.31,-0.0,-0.09,-0.14,-0.18,-1.06,0.0,-0.38,-0.01
KRAS,0.01,-0.18,1.72,0.0,0.02,-1.61,-0.04,0.0,-1.13,0.0,-0.13,-0.02
PIK3CA,-0.0,-0.18,0.01,0.79,0.0,-0.0,0.0,-0.0,-0.07,-0.0,-0.0,-0.0
FBXW7,0.0,-0.0,0.02,0.0,0.13,-0.0,0.0,-0.0,-0.0,-0.18,0.0,0.0
BRAF,-0.96,-0.06,-1.5,-0.0,-0.0,0.69,0.0,0.0,0.19,0.0,0.0,0.0
ARID1A,-0.0,-0.1,-0.04,0.0,0.0,0.0,-0.09,-0.0,0.41,-0.0,0.23,0.13
SOX9,0.0,-0.12,0.0,-0.0,-0.0,-0.0,-0.0,0.08,-0.0,-0.0,0.0,-0.0
RNF43,-1.52,-0.69,-0.9,-0.05,-0.0,0.16,0.25,-0.0,0.85,0.0,0.6,0.41
SMAD4,-0.16,0.0,0.0,-0.0,-0.18,0.0,-0.0,-0.0,0.0,-0.1,-0.0,-0.0
KMT2D,-0.06,-0.26,-0.13,-0.0,0.0,0.0,0.21,0.0,0.97,-0.0,-0.19,0.07
PTPRS,-0.01,-0.0,-0.02,-0.0,0.0,0.0,0.12,-0.0,0.66,-0.0,0.08,-0.47
Observation,0.88,2.4,0.49,0.52,0.0,0.35,0.38,0.02,0.0,0.01,0.01,0.05
