,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.29,0.4,0.14,-0.0,-0.0,-1.05,-0.0,-0.0,-1.84,-0.0,-0.19,-0.13
TP53,0.42,1.75,-0.01,-0.58,-0.0,-0.0,-0.01,-0.02,-0.85,-0.0,-0.4,-0.11
KRAS,0.18,-0.0,1.32,0.1,-0.0,-1.35,-0.0,0.0,-0.94,0.0,-0.0,-0.01
PIK3CA,-0.0,-0.41,0.1,0.62,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
FBXW7,-0.0,-0.0,-0.0,-0.0,0.03,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
BRAF,-0.96,-0.0,-1.14,-0.0,0.0,0.45,-0.0,-0.0,0.24,-0.0,0.0,0.0
ARID1A,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.23,0.0,0.32,-0.0,0.34,0.11
SOX9,-0.0,-0.02,0.0,0.0,-0.0,-0.0,-0.0,-0.05,-0.0,-0.0,-0.0,-0.0
RNF43,-1.47,-0.48,-0.69,-0.0,-0.0,0.24,0.2,0.0,0.62,-0.0,0.62,0.29
SMAD4,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.31,-0.0,0.0
KMT2D,-0.19,-0.28,-0.0,-0.0,0.0,0.0,0.29,-0.0,0.9,-0.0,-0.31,0.18
PTPRS,-0.14,-0.08,-0.0,-0.0,0.0,0.0,0.1,-0.0,0.46,0.0,0.2,-0.33
Observation,0.74,2.17,0.95,0.18,0.0,0.21,0.54,0.08,0.0,0.01,0.01,0.01
