,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.41,0.19,0.1,-0.0,0.0,-0.97,-0.21,0.0,-2.08,-0.0,-0.08,-0.07
TP53,0.18,1.74,-0.0,-0.51,-0.0,-0.01,-0.24,-0.01,-1.07,-0.0,-0.26,-0.07
KRAS,0.13,-0.0,1.29,0.02,-0.0,-0.94,-0.0,0.0,-1.05,-0.0,-0.1,-0.0
PIK3CA,0.0,-0.38,0.02,0.61,-0.0,-0.0,-0.0,0.0,-0.08,-0.01,-0.0,-0.0
FBXW7,0.0,-0.0,-0.0,-0.0,-0.06,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
BRAF,-0.97,-0.01,-0.79,-0.0,0.0,0.42,0.0,-0.0,0.08,0.0,0.0,0.0
ARID1A,-0.23,-0.18,-0.0,-0.0,-0.0,0.0,-0.23,-0.0,0.49,-0.0,0.28,0.0
SOX9,0.0,-0.01,0.0,0.0,-0.0,-0.0,-0.0,-0.27,0.0,-0.0,-0.0,0.0
RNF43,-1.77,-0.65,-0.74,-0.06,-0.0,0.06,0.32,0.0,0.6,-0.0,0.5,0.23
SMAD4,-0.0,-0.0,-0.0,-0.01,-0.0,0.0,-0.0,-0.0,-0.0,-0.3,-0.0,-0.0
KMT2D,-0.08,-0.18,-0.08,-0.0,0.0,0.0,0.27,-0.0,0.77,0.0,-0.39,0.21
PTPRS,-0.08,-0.06,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.35,-0.0,0.22,-0.46
Observation,0.46,2.18,1.02,0.17,0.04,0.49,0.27,0.11,0.0,0.01,0.04,0.07
