,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.26,0.37,0.04,-0.0,0.0,-0.49,-0.0,0.0,-1.95,-0.1,-0.25,-0.01
TP53,0.3,1.87,-0.17,-0.76,-0.0,-0.0,-0.29,-0.42,-1.03,-0.0,-0.34,-0.01
KRAS,0.04,-0.12,1.42,0.0,-0.0,-1.13,-0.18,0.0,-0.9,0.0,-0.36,-0.0
PIK3CA,0.0,-0.46,0.0,0.64,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
FBXW7,0.0,-0.0,-0.0,0.0,0.03,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
BRAF,-0.51,-0.0,-1.06,-0.0,0.0,0.21,-0.0,0.0,0.33,-0.0,0.0,-0.0
ARID1A,-0.0,-0.22,-0.16,0.0,-0.0,-0.0,-0.25,0.0,0.66,-0.0,0.46,0.01
SOX9,0.0,-0.3,0.0,0.0,-0.0,0.0,0.0,-0.15,0.0,-0.0,-0.0,-0.0
RNF43,-1.61,-0.72,-0.68,-0.0,-0.0,0.27,0.46,0.0,0.47,-0.0,0.45,0.0
SMAD4,-0.08,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.25,-0.0,-0.0
KMT2D,-0.23,-0.23,-0.3,-0.0,0.0,0.0,0.44,-0.0,0.65,-0.0,-0.2,0.23
PTPRS,-0.01,-0.0,-0.0,-0.0,0.0,-0.0,0.01,-0.0,0.0,-0.0,0.25,-0.58
Observation,0.77,1.92,0.83,0.21,0.0,0.65,0.05,0.0,0.0,0.25,0.05,0.06
