,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.32,0.6,0.01,-0.0,-0.0,-0.92,0.0,-0.08,-1.69,-0.24,-0.11,-0.0
TP53,0.51,1.84,-0.3,-0.42,-0.0,-0.0,-0.1,-0.13,-1.08,-0.0,-0.48,-0.17
KRAS,0.01,-0.17,1.67,0.03,0.0,-1.34,-0.12,-0.0,-1.3,0.01,-0.1,0.0
PIK3CA,-0.0,-0.29,0.03,0.71,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.09,0.0
FBXW7,0.0,0.0,0.0,-0.0,0.15,-0.0,-0.09,-0.0,-0.0,-0.0,0.0,0.0
BRAF,-0.81,-0.0,-1.27,-0.0,-0.0,0.57,0.0,0.0,0.28,0.0,0.0,0.0
ARID1A,-0.0,-0.07,-0.12,-0.0,-0.08,0.0,-0.14,-0.0,0.59,-0.0,0.45,0.1
SOX9,-0.07,-0.1,-0.0,0.0,-0.0,0.0,-0.0,-0.18,0.0,0.0,0.0,0.0
RNF43,-1.34,-0.76,-1.07,-0.0,-0.0,0.23,0.4,0.0,0.65,-0.01,0.54,0.2
SMAD4,-0.19,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.01,-0.0,-0.0,-0.0
KMT2D,-0.1,-0.36,-0.09,0.11,0.0,0.0,0.45,0.0,0.83,-0.0,-0.22,0.21
PTPRS,-0.0,-0.13,0.0,0.0,0.0,0.0,0.1,0.0,0.32,-0.0,0.25,-0.39
Observation,0.98,2.29,0.61,0.09,0.01,0.44,0.5,0.15,0.0,0.13,0.0,0.0
