,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.32,0.42,0.01,-0.0,-0.0,-0.85,-0.01,-0.0,-1.84,-0.08,-0.18,-0.0
TP53,0.36,1.71,-0.06,-0.73,-0.0,-0.0,-0.22,-0.35,-0.99,-0.0,-0.11,-0.0
KRAS,0.01,-0.04,1.36,0.04,0.0,-1.31,-0.05,0.0,-0.96,0.0,-0.22,-0.06
PIK3CA,0.0,-0.4,0.04,0.58,0.0,-0.0,-0.01,0.0,-0.15,-0.0,0.0,-0.0
FBXW7,0.0,-0.0,0.0,0.0,0.01,-0.0,-0.0,0.0,-0.0,0.0,0.02,0.0
BRAF,-0.84,-0.0,-1.17,-0.0,-0.0,0.36,0.0,-0.0,0.22,-0.0,0.0,-0.0
ARID1A,-0.01,-0.15,-0.05,-0.0,-0.0,0.0,-0.16,-0.0,0.2,0.0,0.53,0.01
SOX9,-0.0,-0.24,0.0,0.0,0.0,-0.0,-0.0,-0.1,-0.0,-0.0,-0.0,0.0
RNF43,-1.47,-0.66,-0.7,-0.11,-0.0,0.19,0.14,-0.0,0.55,-0.0,0.45,0.24
SMAD4,-0.05,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.2,-0.0,-0.0
KMT2D,-0.15,-0.09,-0.19,0.0,0.02,0.0,0.52,-0.0,0.69,-0.0,-0.37,0.2
PTPRS,-0.0,-0.0,-0.05,-0.0,0.0,-0.0,0.01,0.0,0.36,-0.0,0.22,-0.57
Observation,0.67,2.17,0.88,0.26,0.0,0.53,0.16,0.06,0.0,0.17,0.0,0.0
