,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.22,0.53,0.23,0.01,-0.0,-0.82,-0.0,-0.0,-1.58,-0.01,-0.05,-0.1
TP53,0.37,1.83,-0.17,-0.56,-0.01,-0.0,-0.2,-0.23,-0.87,-0.0,-0.09,-0.27
KRAS,0.27,-0.11,1.39,0.01,-0.0,-0.94,-0.05,0.0,-0.99,0.0,-0.0,-0.01
PIK3CA,0.01,-0.39,0.01,0.76,-0.0,-0.13,-0.0,0.0,-0.13,-0.01,-0.0,-0.0
FBXW7,-0.0,-0.0,-0.0,0.0,0.16,-0.0,0.0,0.0,0.08,0.0,0.0,0.0
BRAF,-0.74,-0.0,-0.82,-0.11,-0.0,0.48,0.0,0.0,0.14,-0.0,0.04,0.0
ARID1A,-0.0,-0.13,-0.05,-0.0,0.0,0.0,-0.15,-0.0,0.46,-0.0,0.44,0.23
SOX9,-0.0,-0.16,0.0,0.0,0.0,0.0,-0.0,0.03,-0.0,-0.0,-0.0,0.0
RNF43,-1.2,-0.52,-0.73,-0.08,0.06,0.12,0.3,-0.0,0.62,-0.0,0.7,0.17
SMAD4,-0.0,-0.0,0.0,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.25,-0.0,0.0
KMT2D,-0.05,-0.07,-0.0,-0.0,0.0,0.05,0.4,-0.0,1.02,-0.0,-0.46,0.13
PTPRS,-0.09,-0.18,-0.0,-0.0,0.0,0.0,0.23,0.0,0.26,0.0,0.14,-0.39
Observation,0.85,2.18,0.89,0.17,0.0,0.43,0.43,0.01,-0.0,0.33,0.0,0.02
