,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.21,0.16,0.04,-0.0,-0.0,-0.84,-0.05,-0.0,-1.63,-0.0,-0.11,-0.0
TP53,0.15,1.68,-0.0,-0.55,-0.0,-0.0,-0.26,-0.08,-0.86,-0.0,-0.24,-0.0
KRAS,0.04,-0.0,1.19,0.0,-0.0,-0.96,-0.0,0.0,-0.9,0.0,-0.0,-0.0
PIK3CA,-0.0,-0.35,0.01,0.51,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
FBXW7,-0.0,-0.0,-0.0,-0.0,-0.12,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
BRAF,-0.75,-0.0,-0.84,-0.0,0.0,0.26,0.0,0.0,0.0,-0.0,0.0,0.0
ARID1A,-0.05,-0.18,-0.0,0.0,0.0,0.0,-0.31,0.0,0.08,0.0,0.05,0.0
SOX9,-0.0,-0.06,0.0,0.0,-0.0,0.0,0.0,-0.29,0.0,-0.0,0.0,-0.0
RNF43,-1.21,-0.54,-0.65,-0.0,-0.0,0.0,0.05,0.0,0.4,-0.0,0.44,0.0
SMAD4,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.35,-0.0,0.0
KMT2D,-0.1,-0.18,-0.0,0.0,0.0,0.0,0.05,0.0,0.63,-0.0,-0.35,0.0
PTPRS,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.64
Observation,0.7,1.97,0.86,0.19,0.0,0.51,0.01,0.0,0.0,0.0,0.0,0.0
