,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.32,0.31,0.1,-0.0,0.0,-0.92,-0.09,-0.0,-1.88,-0.01,-0.01,-0.02
TP53,0.32,1.79,-0.03,-0.5,-0.1,-0.02,-0.11,-0.47,-0.88,0.02,-0.3,-0.01
KRAS,0.13,-0.02,1.37,0.2,0.0,-1.45,-0.0,-0.0,-0.95,0.0,-0.15,-0.0
PIK3CA,-0.0,-0.33,0.21,0.52,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
FBXW7,0.0,-0.08,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
BRAF,-0.86,-0.01,-1.23,0.0,0.0,0.48,0.0,0.0,0.0,-0.0,0.0,-0.0
ARID1A,-0.08,-0.08,-0.0,-0.0,0.0,0.0,-0.21,0.0,0.38,-0.0,0.46,0.0
SOX9,0.0,-0.3,-0.0,0.0,0.0,0.0,0.0,-0.15,0.0,0.0,-0.0,0.0
RNF43,-1.49,-0.55,-0.73,-0.0,0.0,0.0,0.25,0.0,0.6,-0.0,0.64,0.24
SMAD4,-0.0,0.02,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.18,-0.21,0.0
KMT2D,-0.01,-0.19,-0.13,0.0,0.0,0.0,0.39,-0.0,0.92,-0.19,-0.3,0.14
PTPRS,-0.02,-0.01,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.38,0.0,0.16,-0.4
Observation,0.71,2.16,0.91,0.31,-0.0,0.29,0.58,0.02,0.0,0.0,0.01,0.01
