,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.35,0.36,0.11,-0.0,-0.0,-0.91,-0.21,-0.0,-1.87,-0.0,-0.12,-0.0
TP53,0.31,1.92,-0.08,-0.55,-0.13,-0.0,-0.0,-0.33,-1.22,-0.0,-0.34,-0.04
KRAS,0.14,-0.05,1.41,0.1,0.0,-1.16,-0.02,-0.0,-1.18,0.04,-0.13,-0.0
PIK3CA,-0.0,-0.33,0.11,0.69,0.0,-0.0,0.0,0.0,-0.01,-0.0,-0.06,0.0
FBXW7,-0.0,-0.09,0.0,0.0,0.03,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
BRAF,-0.87,-0.0,-1.03,-0.0,0.0,0.54,0.0,-0.0,0.07,-0.0,0.01,0.0
ARID1A,-0.22,-0.0,-0.02,0.0,-0.0,0.0,-0.2,-0.0,0.37,0.0,0.45,0.0
SOX9,0.0,-0.22,0.0,0.0,0.0,-0.0,-0.0,-0.17,0.0,-0.0,0.0,0.0
RNF43,-1.4,-0.74,-0.88,-0.01,0.0,0.06,0.24,0.0,0.61,-0.14,0.62,0.2
SMAD4,-0.0,-0.0,0.04,-0.0,-0.0,-0.0,0.0,-0.0,-0.22,-0.03,-0.0,-0.0
KMT2D,-0.12,-0.26,-0.12,-0.05,-0.0,0.01,0.41,0.0,0.94,-0.0,-0.29,0.09
PTPRS,-0.0,-0.03,-0.0,0.0,-0.0,0.0,0.0,0.0,0.32,-0.0,0.1,-0.45
Observation,0.83,2.14,0.84,0.19,0.0,0.43,0.35,0.0,0.0,0.2,0.07,0.0
