,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.23,0.42,0.09,-0.0,-0.0,-1.0,-0.36,-0.0,-1.93,-0.02,-0.05,-0.01
TP53,0.41,1.68,-0.15,-0.56,-0.1,0.0,-0.23,-0.31,-1.13,0.0,-0.16,-0.11
KRAS,0.12,-0.11,1.39,0.01,0.0,-1.48,-0.21,-0.0,-1.17,0.0,-0.08,-0.12
PIK3CA,-0.0,-0.39,0.01,0.58,-0.01,-0.09,0.07,-0.0,-0.23,-0.0,0.0,0.0
FBXW7,-0.0,-0.07,0.0,-0.01,-0.11,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
BRAF,-0.92,0.0,-1.31,-0.08,0.0,0.47,0.0,-0.0,0.01,-0.0,0.0,-0.0
ARID1A,-0.3,-0.16,-0.18,0.08,-0.0,0.0,-0.03,-0.0,0.09,-0.0,0.43,0.02
SOX9,-0.0,-0.21,-0.0,0.0,0.0,-0.0,-0.0,-0.23,-0.0,-0.0,0.0,0.0
RNF43,-1.46,-0.62,-0.82,-0.17,0.0,0.01,0.07,-0.0,0.64,-0.0,0.65,0.2
SMAD4,-0.01,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3,-0.0,0.0
KMT2D,-0.05,-0.13,-0.06,0.0,0.0,0.0,0.42,0.0,0.99,-0.0,-0.53,0.27
PTPRS,-0.01,-0.08,-0.1,0.0,0.0,0.0,0.02,0.0,0.33,0.0,0.32,-0.57
Observation,0.68,2.18,0.82,0.24,0.0,0.26,0.05,0.2,0.0,0.01,0.0,0.05
