,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.46,0.36,0.01,-0.0,0.0,-0.92,-0.0,-0.0,-2.08,-0.29,-0.05,-0.0
TP53,0.37,1.74,-0.02,-0.37,-0.01,-0.0,-0.14,-0.33,-1.12,0.0,-0.11,-0.01
KRAS,0.01,-0.01,1.45,0.3,-0.0,-1.37,-0.11,0.0,-1.09,0.01,-0.14,-0.0
PIK3CA,-0.0,-0.25,0.32,0.64,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FBXW7,0.0,-0.01,0.0,0.0,0.08,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
BRAF,-0.89,-0.0,-1.23,-0.0,-0.0,0.44,0.0,-0.0,0.15,0.0,0.0,-0.0
ARID1A,-0.0,-0.09,-0.1,-0.0,0.0,0.0,-0.24,-0.0,0.67,-0.0,0.54,0.07
SOX9,-0.0,-0.24,0.0,-0.0,0.0,-0.0,-0.0,0.03,0.0,-0.0,0.0,0.0
RNF43,-1.63,-0.75,-0.79,0.0,-0.0,0.14,0.46,0.0,0.64,-0.0,0.58,0.18
SMAD4,-0.24,0.0,0.01,-0.0,-0.0,-0.0,-0.01,-0.0,-0.0,-0.07,-0.0,-0.0
KMT2D,-0.05,-0.08,-0.11,-0.0,0.0,0.0,0.51,0.0,0.89,-0.0,-0.39,0.3
PTPRS,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.08,0.0,0.28,-0.0,0.35,-0.48
Observation,0.69,2.25,0.91,0.35,0.01,0.39,0.35,0.0,-0.0,0.01,0.0,0.23
