,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.35,0.56,0.1,0.0,-0.0,-0.84,-0.0,-0.01,-1.78,-0.0,-0.27,-0.12
TP53,0.4,1.86,-0.01,-0.46,-0.0,-0.0,-0.12,-0.42,-0.94,-0.0,-0.31,-0.09
KRAS,0.12,-0.01,1.55,0.1,-0.01,-1.35,-0.01,-0.0,-1.01,0.01,-0.05,-0.0
PIK3CA,0.0,-0.25,0.12,0.79,0.0,-0.11,-0.01,0.0,-0.2,-0.0,-0.0,-0.0
FBXW7,0.0,-0.0,-0.01,0.0,0.16,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
BRAF,-0.72,-0.0,-1.14,-0.08,-0.0,0.52,0.0,0.0,0.11,0.0,0.0,0.0
ARID1A,-0.0,-0.08,-0.0,-0.0,0.0,0.0,-0.26,0.0,0.3,-0.0,0.56,0.04
SOX9,-0.01,-0.31,-0.0,0.0,0.0,0.0,0.0,0.05,0.0,-0.0,-0.0,-0.0
RNF43,-1.35,-0.67,-0.71,-0.12,0.0,0.1,0.2,0.0,0.54,-0.0,0.44,0.04
SMAD4,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.12,-0.0,-0.0
KMT2D,-0.25,-0.23,-0.04,-0.0,0.0,0.0,0.5,-0.0,0.61,-0.0,-0.2,0.24
PTPRS,-0.12,-0.06,-0.0,0.0,0.0,0.0,0.04,-0.0,0.06,-0.0,0.27,-0.2
Observation,0.98,2.27,0.9,0.21,0.0,0.23,0.24,0.18,0.0,0.0,0.0,0.0
