,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.51,0.24,0.19,-0.0,-0.0,-0.79,-0.16,0.0,-1.86,-0.0,-0.12,-0.04
TP53,0.23,1.92,-0.0,-0.49,-0.01,-0.01,-0.04,-0.16,-1.22,-0.0,-0.18,-0.0
KRAS,0.27,-0.0,1.26,0.23,0.0,-1.31,-0.01,0.0,-0.72,0.0,-0.09,-0.01
PIK3CA,0.0,-0.29,0.22,0.73,-0.0,0.0,0.0,-0.04,-0.09,-0.0,-0.0,-0.0
FBXW7,-0.0,-0.0,0.0,-0.0,0.04,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
BRAF,-0.8,-0.01,-1.08,0.0,-0.0,0.45,0.0,0.0,0.38,-0.0,0.0,-0.0
ARID1A,-0.15,-0.03,-0.01,0.0,-0.0,0.0,-0.14,-0.0,0.5,0.0,0.55,0.15
SOX9,0.0,-0.12,0.0,-0.04,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
RNF43,-1.52,-0.75,-0.5,-0.06,-0.0,0.31,0.32,0.0,0.66,-0.0,0.59,0.16
SMAD4,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.11,-0.0,0.0
KMT2D,-0.12,-0.12,-0.07,-0.0,0.0,0.0,0.5,-0.0,0.92,-0.0,-0.24,0.39
PTPRS,-0.05,-0.0,-0.01,-0.0,0.0,-0.0,0.15,0.0,0.24,0.0,0.45,-0.38
Observation,0.66,2.23,1.14,0.16,0.02,0.52,0.42,0.17,0.0,0.0,0.01,0.2
