,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.34,0.3,0.17,-0.07,-0.0,-0.76,-0.24,-0.0,-1.84,0.0,-0.13,-0.0
TP53,0.25,1.93,-0.14,-0.61,-0.0,-0.0,-0.27,-0.31,-1.05,-0.0,-0.45,-0.0
KRAS,0.21,-0.11,1.37,0.24,-0.0,-1.08,-0.01,0.0,-1.11,-0.0,-0.33,0.0
PIK3CA,-0.05,-0.43,0.24,0.62,0.0,0.0,0.0,-0.0,-0.0,-0.01,0.0,-0.0
FBXW7,-0.0,-0.0,-0.0,0.0,-0.05,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0
BRAF,-0.72,-0.0,-0.95,0.0,-0.0,0.39,0.0,-0.0,0.06,-0.0,0.06,-0.0
ARID1A,-0.21,-0.18,-0.01,0.0,0.0,0.0,-0.15,-0.0,0.41,-0.0,0.46,0.31
SOX9,-0.0,-0.23,0.0,-0.0,-0.0,-0.0,-0.0,-0.13,0.0,0.0,0.0,0.0
RNF43,-1.41,-0.6,-0.77,-0.0,-0.0,0.05,0.28,0.0,0.61,-0.0,0.43,0.0
SMAD4,0.0,0.0,-0.0,-0.01,-0.0,-0.0,-0.0,0.0,-0.01,-0.22,-0.0,-0.0
KMT2D,-0.12,-0.36,-0.26,0.0,0.0,0.06,0.44,0.0,0.65,-0.0,-0.28,0.35
PTPRS,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.33,0.0,0.0,-0.0,0.4,-0.68
Observation,0.7,2.07,0.97,0.26,0.0,0.47,0.01,0.02,0.0,0.03,0.0,0.0
