,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.12,0.36,0.18,-0.1,-0.0,-0.81,-0.09,0.0,-1.78,-0.01,-0.05,-0.0
TP53,0.35,1.76,-0.0,-0.66,0.0,-0.0,-0.06,-0.26,-1.22,0.0,-0.23,-0.07
KRAS,0.2,-0.0,1.25,0.0,0.0,-1.38,-0.01,-0.0,-0.92,-0.0,-0.01,-0.0
PIK3CA,-0.06,-0.44,0.0,0.68,-0.0,-0.0,0.1,-0.0,-0.1,-0.06,0.01,0.0
FBXW7,-0.0,0.0,0.0,-0.0,-0.09,0.0,-0.0,0.0,-0.01,-0.0,-0.0,0.0
BRAF,-0.74,-0.0,-1.18,-0.0,0.0,0.26,0.0,-0.0,0.4,0.0,0.0,-0.0
ARID1A,-0.08,-0.05,-0.01,0.13,-0.0,0.0,-0.4,-0.0,0.48,-0.0,0.33,0.09
SOX9,0.0,-0.2,-0.0,-0.0,0.0,-0.0,-0.0,-0.18,0.0,0.0,0.0,0.0
RNF43,-1.41,-0.72,-0.61,-0.08,-0.01,0.35,0.3,0.0,0.49,-0.0,0.56,0.0
SMAD4,-0.01,0.0,-0.0,-0.07,-0.0,0.0,-0.0,0.0,-0.0,-0.17,-0.0,-0.01
KMT2D,-0.05,-0.17,-0.01,0.01,0.0,0.0,0.31,0.0,0.9,0.0,-0.45,0.32
PTPRS,-0.0,-0.05,-0.0,0.0,0.0,0.0,0.09,0.0,0.0,-0.0,0.34,-0.46
Observation,0.85,1.92,0.96,0.12,-0.0,0.42,0.33,0.06,0.0,0.02,0.0,0.0
