,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.35,0.34,0.04,0.0,-0.0,-0.79,-0.0,-0.0,-2.18,-0.07,-0.01,-0.02
TP53,0.27,1.91,-0.27,-0.37,-0.01,-0.02,-0.16,-0.26,-1.15,0.0,-0.01,-0.09
KRAS,0.04,-0.18,1.58,0.18,0.0,-1.37,-0.16,0.0,-1.27,0.0,-0.11,-0.0
PIK3CA,0.0,-0.21,0.22,0.66,0.0,-0.0,0.0,-0.0,-0.05,-0.07,-0.0,-0.01
FBXW7,0.0,-0.01,0.0,0.0,0.08,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
BRAF,-0.79,-0.01,-1.32,-0.0,-0.0,0.56,0.0,0.0,0.25,0.0,-0.0,0.07
ARID1A,-0.0,-0.11,-0.16,0.0,0.0,0.0,-0.08,-0.0,0.61,-0.0,0.33,0.0
SOX9,-0.0,-0.18,0.0,-0.0,0.0,0.0,-0.0,-0.03,-0.0,-0.0,0.0,-0.0
RNF43,-1.56,-0.69,-1.0,-0.03,-0.0,0.2,0.37,-0.0,0.7,-0.0,0.69,0.29
SMAD4,-0.06,0.0,0.0,-0.07,-0.0,0.0,-0.0,-0.0,-0.0,-0.12,-0.0,-0.0
KMT2D,-0.01,-0.01,-0.11,0.0,0.0,-0.0,0.33,0.0,1.12,-0.0,-0.36,0.01
PTPRS,-0.02,-0.06,-0.0,-0.01,0.0,0.08,0.0,0.0,0.49,-0.0,0.01,-0.44
Observation,0.88,2.16,0.72,0.35,0.0,0.62,0.26,0.05,0.0,0.02,0.14,0.01
