,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.41,0.12,0.0,-0.0,0.0,-1.0,-0.06,-0.0,-2.07,-0.0,-0.18,-0.11
TP53,0.12,1.81,-0.02,-0.39,-0.0,-0.0,-0.17,-0.2,-1.05,0.0,-0.5,-0.08
KRAS,0.0,-0.01,1.36,0.27,0.0,-1.52,-0.0,-0.0,-1.01,0.0,-0.0,-0.0
PIK3CA,0.0,-0.27,0.3,0.5,-0.0,-0.22,0.0,-0.0,-0.01,-0.0,-0.0,-0.0
FBXW7,0.0,-0.0,0.0,-0.0,-0.07,0.0,-0.14,-0.0,0.0,-0.01,-0.0,0.0
BRAF,-1.01,-0.0,-1.29,-0.18,0.0,0.41,0.0,-0.0,0.34,-0.0,0.0,-0.0
ARID1A,-0.06,-0.13,-0.0,0.0,-0.15,0.0,-0.32,-0.0,0.42,0.0,0.62,0.01
SOX9,-0.0,-0.16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.14,-0.0,0.0,0.0,0.0
RNF43,-1.65,-0.58,-0.72,-0.0,0.0,0.32,0.26,-0.0,0.63,-0.0,0.51,0.09
SMAD4,-0.0,0.0,0.0,-0.0,-0.01,-0.0,-0.0,-0.0,-0.01,-0.15,-0.03,-0.0
KMT2D,-0.2,-0.36,-0.0,-0.0,-0.0,0.0,0.52,0.0,0.71,-0.03,-0.34,0.15
PTPRS,-0.1,-0.06,-0.0,0.0,0.0,-0.0,0.01,0.0,0.14,-0.0,0.17,-0.39
Observation,0.54,2.12,0.96,0.18,0.03,0.15,0.39,0.08,0.0,0.06,0.01,0.07
