,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.14,0.39,0.0,-0.0,-0.0,-0.77,-0.0,-0.0,-1.86,-0.0,-0.03,-0.03
TP53,0.25,1.88,-0.32,-0.48,-0.0,-0.0,-0.7,-0.35,-1.13,-0.0,-0.4,-0.01
KRAS,0.0,-0.2,1.54,0.05,0.0,-1.47,-0.4,-0.0,-1.39,0.1,-0.04,-0.0
PIK3CA,-0.0,-0.33,0.08,0.52,0.0,-0.03,-0.0,0.0,-0.0,-0.05,0.0,0.0
FBXW7,0.0,-0.0,0.0,0.0,-0.05,-0.0,0.0,-0.0,-0.0,-0.11,0.0,-0.0
BRAF,-0.69,0.0,-1.44,-0.03,-0.0,0.36,-0.0,-0.0,0.12,0.0,0.0,0.0
ARID1A,-0.0,-0.48,-0.35,-0.0,0.0,-0.0,-0.15,0.0,0.39,0.0,0.23,0.0
SOX9,-0.0,-0.28,-0.0,0.0,-0.0,-0.0,0.0,-0.12,-0.0,0.0,0.0,-0.0
RNF43,-1.48,-0.78,-1.09,-0.0,-0.0,0.1,0.27,-0.0,0.6,-0.0,0.5,0.25
SMAD4,-0.0,-0.0,0.11,-0.05,-0.11,-0.0,-0.0,0.0,-0.0,-0.32,-0.0,-0.0
KMT2D,-0.02,-0.31,-0.04,0.0,0.0,0.0,0.25,0.0,0.86,0.0,-0.35,0.07
PTPRS,-0.04,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.4,-0.0,0.07,-0.49
Observation,0.91,1.94,0.57,0.31,0.0,0.35,0.08,0.0,0.0,0.1,0.0,0.08
