,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.31,0.32,0.11,0.0,-0.0,-0.87,-0.17,-0.0,-1.95,-0.0,-0.01,-0.01
TP53,0.35,1.71,-0.03,-0.46,0.0,-0.0,-0.08,-0.48,-0.87,0.0,-0.1,-0.0
KRAS,0.13,-0.02,1.35,0.21,0.0,-1.24,-0.05,-0.0,-1.16,0.0,-0.0,-0.0
PIK3CA,0.0,-0.31,0.22,0.65,-0.0,0.0,-0.0,-0.0,-0.08,-0.05,-0.0,-0.0
FBXW7,-0.0,0.0,0.0,-0.0,-0.06,-0.0,0.0,-0.0,0.0,-0.0,0.01,-0.0
BRAF,-0.79,-0.0,-1.09,0.0,-0.0,0.43,0.0,0.0,0.1,-0.0,-0.0,0.0
ARID1A,-0.18,-0.06,-0.04,-0.0,0.0,0.0,-0.22,0.0,0.51,-0.0,0.28,0.01
SOX9,-0.0,-0.32,-0.0,-0.0,-0.0,0.0,0.0,-0.04,0.0,-0.0,0.0,0.0
RNF43,-1.54,-0.55,-0.9,-0.05,0.0,0.09,0.33,-0.0,0.5,-0.0,0.56,0.15
SMAD4,-0.0,0.0,0.0,-0.06,-0.0,-0.0,-0.0,-0.0,-0.01,-0.15,-0.0,-0.0
KMT2D,-0.01,-0.07,-0.0,-0.0,0.02,-0.0,0.28,0.0,0.93,-0.0,-0.54,0.1
PTPRS,-0.01,-0.0,-0.0,0.0,0.0,0.0,0.01,0.0,0.24,-0.0,0.1,-0.58
Observation,0.72,2.23,0.87,0.17,0.0,0.35,0.24,0.03,0.0,0.24,0.0,0.0
