,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.31,0.52,0.01,-0.0,-0.0,-0.83,-0.0,-0.0,-1.79,-0.12,-0.05,-0.0
TP53,0.41,1.92,-0.21,-0.52,-0.01,-0.29,-0.03,-0.17,-1.06,-0.01,-0.23,-0.0
KRAS,0.01,-0.14,1.72,0.05,0.0,-1.47,-0.05,0.0,-1.29,0.0,-0.04,-0.04
PIK3CA,-0.0,-0.37,0.05,0.76,-0.0,-0.0,-0.0,-0.0,-0.06,0.0,0.0,-0.0
FBXW7,0.0,-0.0,0.0,-0.0,0.04,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0
BRAF,-0.76,-0.18,-1.33,-0.0,-0.0,0.6,0.01,0.0,0.22,-0.0,-0.0,0.0
ARID1A,-0.0,-0.02,-0.05,0.0,-0.0,0.02,-0.17,0.0,0.52,-0.0,0.49,0.0
SOX9,0.0,-0.11,0.0,-0.0,-0.0,-0.0,-0.0,0.05,-0.0,0.0,-0.0,0.0
RNF43,-1.4,-0.65,-1.05,-0.04,-0.0,0.19,0.31,-0.0,0.59,-0.0,0.55,0.14
SMAD4,-0.08,-0.01,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.15,-0.0,0.0
KMT2D,-0.04,-0.15,-0.03,0.0,0.01,0.0,0.46,-0.0,0.93,-0.0,-0.44,0.26
PTPRS,-0.0,-0.0,-0.04,-0.0,-0.0,0.01,0.0,0.0,0.22,0.0,0.28,-0.36
Observation,0.92,2.25,0.65,0.05,0.02,0.41,0.49,0.0,0.0,0.28,0.01,0.0
