,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.36,0.36,0.2,-0.01,-0.0,-0.8,-0.28,-0.0,-2.06,-0.0,-0.0,-0.0
TP53,0.33,1.91,-0.08,-0.54,-0.0,-0.01,-0.37,-0.47,-1.05,-0.01,-0.31,-0.0
KRAS,0.25,-0.05,1.47,0.0,0.0,-1.02,-0.09,-0.0,-1.0,0.0,-0.34,-0.0
PIK3CA,-0.01,-0.32,0.0,0.77,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
FBXW7,0.0,-0.0,0.0,0.0,0.11,-0.0,-0.0,0.0,-0.01,-0.0,0.0,-0.0
BRAF,-0.77,-0.0,-0.9,0.0,-0.0,0.38,0.0,-0.0,0.12,0.0,0.0,-0.0
ARID1A,-0.28,-0.27,-0.08,0.0,-0.0,0.0,-0.01,0.0,0.43,0.0,0.23,-0.0
SOX9,-0.0,-0.31,-0.0,-0.0,0.0,-0.0,0.0,0.04,0.0,0.0,0.0,0.0
RNF43,-1.58,-0.6,-0.75,-0.0,-0.01,0.1,0.29,0.0,0.63,-0.0,0.47,0.33
SMAD4,-0.0,-0.01,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.15,-0.0,-0.0
KMT2D,-0.0,-0.22,-0.26,0.0,0.0,0.0,0.23,0.0,0.68,-0.0,-0.23,0.35
PTPRS,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.44,-0.0,0.36,-0.47
Observation,0.74,2.16,0.87,0.42,0.0,0.55,0.03,0.0,0.0,0.3,0.01,0.02
