,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.24,0.4,0.04,-0.0,0.0,-0.89,-0.01,-0.0,-1.85,-0.12,-0.15,-0.05
TP53,0.38,1.67,-0.06,-0.46,-0.01,-0.0,-0.02,-0.26,-1.01,0.0,-0.5,-0.09
KRAS,0.04,-0.05,1.43,0.05,-0.0,-1.27,-0.04,0.0,-1.24,0.0,-0.07,-0.0
PIK3CA,0.0,-0.29,0.05,0.69,-0.0,-0.01,0.0,0.0,-0.14,-0.11,0.0,0.0
FBXW7,0.0,-0.0,0.0,-0.0,-0.12,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0
BRAF,-0.85,-0.0,-1.14,-0.0,-0.0,0.32,0.0,0.0,0.29,0.0,0.0,-0.0
ARID1A,-0.01,-0.02,-0.03,0.0,0.0,0.0,-0.37,-0.0,0.4,-0.0,0.63,0.01
SOX9,0.0,-0.19,0.0,0.0,-0.0,-0.0,-0.0,-0.16,-0.0,-0.0,-0.0,-0.0
RNF43,-1.48,-0.61,-0.87,-0.1,0.0,0.26,0.27,-0.0,0.55,0.0,0.6,0.22
SMAD4,-0.1,0.0,0.0,-0.11,-0.0,-0.0,-0.0,-0.0,0.0,-0.12,-0.0,0.0
KMT2D,-0.16,-0.34,-0.06,0.0,-0.0,0.0,0.54,0.0,0.88,-0.0,-0.37,0.17
PTPRS,-0.04,-0.07,-0.0,0.0,0.0,-0.0,0.01,-0.0,0.34,0.0,0.19,-0.58
Observation,0.76,2.27,0.77,0.15,0.01,0.29,0.23,0.1,0.0,0.01,0.02,0.01
