,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.35,0.26,0.0,0.0,-0.0,-0.8,0.0,-0.0,-1.83,-0.11,-0.23,-0.0
TP53,0.24,1.79,-0.01,-0.54,-0.0,-0.0,-0.35,-0.21,-0.76,0.0,-0.35,-0.0
KRAS,0.0,-0.01,1.36,0.24,0.0,-1.27,-0.01,-0.0,-1.13,0.0,-0.04,-0.0
PIK3CA,0.0,-0.37,0.23,0.6,-0.0,-0.0,-0.02,0.0,-0.0,-0.0,-0.0,-0.0
FBXW7,-0.0,-0.0,0.0,-0.0,-0.03,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
BRAF,-0.79,0.0,-1.15,-0.0,-0.0,0.35,-0.0,0.0,0.09,-0.0,0.0,-0.0
ARID1A,0.0,-0.25,-0.01,-0.02,-0.0,0.0,-0.28,-0.0,0.32,-0.0,0.67,0.21
SOX9,-0.0,-0.16,-0.0,0.0,0.0,0.0,-0.0,-0.06,0.0,-0.0,-0.0,0.0
RNF43,-1.46,-0.58,-0.8,-0.0,0.0,0.08,0.23,0.0,0.51,-0.0,0.61,0.0
SMAD4,-0.1,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.3,-0.0,-0.0
KMT2D,-0.23,-0.25,-0.04,-0.0,0.0,0.0,0.61,-0.0,0.82,-0.0,-0.39,0.33
PTPRS,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.21,0.0,0.0,-0.0,0.36,-0.39
Observation,0.64,1.94,0.96,0.14,0.0,0.54,0.36,0.2,-0.0,0.02,0.03,0.0
