,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.31,0.41,0.01,0.0,0.01,-0.94,-0.02,-0.0,-1.81,-0.02,-0.17,-0.12
TP53,0.35,1.93,-0.2,-0.66,-0.01,-0.01,-0.28,-0.25,-1.05,0.0,-0.09,-0.0
KRAS,0.01,-0.16,1.57,0.0,0.0,-1.55,-0.32,0.0,-0.91,0.01,-0.01,-0.08
PIK3CA,0.0,-0.45,0.0,0.72,-0.0,0.0,0.01,-0.0,-0.01,-0.02,-0.0,-0.0
FBXW7,0.01,-0.01,0.0,-0.0,0.02,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
BRAF,-0.87,-0.01,-1.42,0.0,-0.0,0.54,0.0,0.0,0.09,-0.0,0.0,0.0
ARID1A,-0.02,-0.21,-0.29,0.02,-0.0,0.0,-0.19,0.0,0.37,-0.0,0.63,0.0
SOX9,-0.0,-0.18,0.0,-0.0,0.0,0.0,0.0,-0.08,0.0,-0.0,0.0,-0.0
RNF43,-1.33,-0.62,-0.71,-0.01,0.0,0.08,0.26,0.0,0.51,-0.0,0.55,0.38
SMAD4,-0.01,0.0,0.01,-0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.19,-0.0,-0.0
KMT2D,-0.16,-0.06,-0.01,-0.0,-0.0,0.0,0.62,0.0,0.8,-0.0,-0.33,0.25
PTPRS,-0.12,-0.0,-0.08,-0.0,-0.0,0.0,0.0,-0.0,0.52,0.0,0.25,-0.43
Observation,1.03,2.13,0.48,0.13,0.0,0.21,0.04,0.18,0.0,0.11,0.11,0.16
