,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.35,0.31,0.01,0.0,-0.0,-0.87,-0.09,-0.0,-1.88,-0.0,-0.01,-0.02
TP53,0.28,1.88,-0.18,-0.6,-0.01,-0.0,-0.39,-0.12,-0.96,-0.01,-0.08,-0.02
KRAS,0.01,-0.12,1.56,0.05,-0.0,-1.4,-0.07,0.0,-1.1,0.0,-0.13,-0.0
PIK3CA,0.0,-0.36,0.05,0.72,-0.0,-0.0,-0.0,-0.0,-0.07,-0.05,-0.0,0.0
FBXW7,-0.0,-0.0,0.0,-0.0,0.18,-0.0,0.01,0.0,0.0,-0.01,0.0,0.0
BRAF,-0.84,-0.0,-1.3,-0.0,-0.0,0.59,0.0,-0.0,0.0,0.0,-0.0,0.0
ARID1A,-0.09,-0.25,-0.07,0.0,0.01,0.0,-0.24,-0.0,0.53,-0.0,0.58,0.0
SOX9,0.0,-0.08,0.0,-0.0,0.0,-0.0,-0.0,0.05,0.0,0.0,-0.0,-0.0
RNF43,-1.55,-0.6,-0.79,-0.05,-0.0,0.0,0.33,0.0,0.56,-0.0,0.74,0.24
SMAD4,-0.0,-0.0,0.0,-0.05,-0.01,0.0,-0.0,0.0,-0.0,-0.15,0.0,-0.0
KMT2D,-0.01,-0.05,-0.11,-0.0,0.0,-0.0,0.52,-0.0,1.17,0.0,-0.42,0.05
PTPRS,-0.02,-0.02,-0.0,0.0,0.0,0.0,0.0,-0.0,0.4,-0.0,0.06,-0.39
Observation,0.67,2.25,0.78,0.21,0.0,0.49,0.47,0.18,0.0,0.06,0.09,0.0
