,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.48,0.27,0.22,0.0,0.0,-0.73,-0.1,0.0,-1.91,-0.16,-0.21,-0.0
TP53,0.21,2.0,-0.06,-0.44,-0.0,-0.0,-0.12,-0.31,-1.09,-0.0,-0.2,-0.16
KRAS,0.26,-0.04,1.47,0.01,0.0,-1.21,-0.12,0.0,-0.9,0.0,-0.01,-0.04
PIK3CA,0.0,-0.26,0.02,0.78,-0.0,-0.02,-0.0,-0.0,-0.0,-0.0,0.0,0.0
FBXW7,0.0,-0.0,0.0,-0.0,0.16,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0
BRAF,-0.77,-0.0,-1.08,-0.02,-0.0,0.59,0.01,0.0,0.12,-0.0,0.0,0.0
ARID1A,-0.11,-0.08,-0.11,-0.0,0.0,0.01,-0.1,-0.0,0.56,0.0,0.28,0.23
SOX9,0.0,-0.2,0.0,-0.0,0.0,-0.0,-0.0,0.06,-0.0,0.0,-0.0,-0.0
RNF43,-1.51,-0.71,-0.6,-0.0,-0.0,0.1,0.36,-0.0,0.64,-0.0,0.65,0.04
SMAD4,-0.14,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.09,-0.0,-0.0
KMT2D,-0.2,-0.14,-0.0,0.0,0.0,0.0,0.26,-0.0,0.97,-0.0,-0.16,0.32
PTPRS,-0.0,-0.12,-0.03,0.0,-0.0,0.0,0.25,-0.0,0.07,0.0,0.37,-0.31
Observation,0.9,2.08,0.92,0.06,0.06,0.67,0.27,0.1,0.0,0.15,0.07,0.0
