,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.42,0.31,0.0,-0.0,-0.0,-0.94,-0.03,0.01,-2.1,-0.0,-0.11,-0.01
TP53,0.29,1.66,-0.07,-0.27,-0.0,-0.02,-0.01,-0.21,-1.14,-0.01,-0.2,-0.11
KRAS,0.0,-0.05,1.47,0.28,0.0,-1.47,-0.01,-0.0,-1.12,0.08,-0.18,-0.0
PIK3CA,0.0,-0.16,0.33,0.43,0.0,-0.0,0.0,0.0,-0.11,-0.0,-0.0,-0.0
FBXW7,-0.0,-0.0,0.0,0.0,-0.03,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0
BRAF,-0.91,-0.01,-1.25,-0.0,-0.0,0.56,0.0,0.0,0.35,-0.0,0.0,0.0
ARID1A,-0.04,-0.01,-0.01,0.0,0.0,0.01,-0.35,-0.0,0.35,-0.0,0.56,0.01
SOX9,0.01,-0.13,-0.0,0.0,-0.0,0.0,-0.0,-0.09,-0.0,-0.0,-0.0,-0.0
RNF43,-1.74,-0.63,-0.81,-0.08,-0.0,0.31,0.22,-0.0,0.7,-0.0,0.48,0.25
SMAD4,-0.0,-0.0,0.09,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.29,-0.0,-0.0
KMT2D,-0.11,-0.13,-0.18,-0.0,0.0,0.0,0.47,0.0,0.72,-0.0,-0.42,0.3
PTPRS,-0.01,-0.08,-0.0,-0.0,0.0,0.0,0.01,-0.0,0.4,-0.0,0.32,-0.51
Observation,0.63,2.23,0.71,0.35,0.0,0.08,0.5,0.21,0.0,0.3,0.19,0.0
