,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.18,0.57,0.04,-0.0,-0.0,-0.84,-0.0,-0.01,-1.82,-0.01,-0.13,-0.1
TP53,0.55,1.71,-0.14,-0.46,-0.0,-0.01,-0.13,-0.21,-0.99,-0.0,-0.22,-0.02
KRAS,0.05,-0.1,1.61,0.02,0.0,-1.55,-0.21,0.0,-0.99,0.0,-0.17,-0.0
PIK3CA,-0.0,-0.28,0.03,0.62,-0.0,-0.01,0.0,0.14,-0.12,-0.0,-0.0,-0.0
FBXW7,-0.0,-0.0,0.0,-0.0,0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
BRAF,-0.73,-0.0,-1.43,-0.01,0.0,0.34,0.0,0.0,0.15,-0.0,0.0,0.0
ARID1A,-0.0,-0.09,-0.21,0.0,-0.0,0.0,-0.21,-0.01,0.62,-0.0,0.18,0.26
SOX9,-0.0,-0.13,0.0,0.14,-0.0,0.0,-0.01,-0.07,-0.0,0.0,0.0,-0.0
RNF43,-1.37,-0.59,-0.75,-0.09,0.0,0.13,0.41,-0.0,0.48,-0.0,0.69,0.21
SMAD4,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.26,-0.0,-0.0
KMT2D,-0.12,-0.16,-0.15,0.0,-0.0,0.0,0.17,0.0,1.07,-0.0,-0.45,0.36
PTPRS,-0.09,-0.01,-0.0,-0.0,0.0,0.0,0.27,0.0,0.31,0.0,0.39,-0.52
Observation,1.05,2.17,0.55,0.28,0.06,0.34,0.31,0.14,0.0,0.36,0.0,0.1
