,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.14,0.31,0.04,0.0,-0.0,-0.81,-0.0,-0.0,-1.92,-0.01,-0.22,-0.02
TP53,0.25,1.82,-0.4,-0.61,0.0,-0.26,-0.22,-0.41,-1.16,0.0,-0.09,-0.25
KRAS,0.04,-0.28,1.31,0.02,-0.0,-1.46,-0.0,0.0,-1.12,0.0,-0.11,-0.0
PIK3CA,0.0,-0.41,0.02,0.49,-0.04,-0.0,0.0,-0.0,-0.17,-0.0,-0.0,0.0
FBXW7,-0.0,0.0,-0.0,-0.04,-0.11,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
BRAF,-0.73,-0.18,-1.34,-0.0,0.0,0.37,0.0,0.0,0.17,-0.0,0.0,0.0
ARID1A,-0.0,-0.18,-0.0,0.0,-0.0,0.0,-0.41,0.0,0.52,-0.0,0.54,0.16
SOX9,0.0,-0.27,0.0,-0.0,-0.0,0.0,0.0,-0.29,-0.0,0.0,-0.0,-0.0
RNF43,-1.46,-0.83,-0.88,-0.12,-0.0,0.13,0.28,-0.0,0.46,0.0,0.49,0.3
SMAD4,-0.01,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.49,-0.0,-0.0
KMT2D,-0.22,-0.06,-0.11,-0.0,-0.0,0.0,0.47,-0.0,0.8,-0.0,-0.6,0.4
PTPRS,-0.02,-0.19,-0.0,0.0,-0.0,0.0,0.14,-0.0,0.49,-0.0,0.43,-0.65
Observation,0.84,1.81,0.56,0.16,0.01,0.33,0.36,0.01,0.0,0.0,0.02,0.03
