,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.27,0.35,0.01,-0.0,-0.0,-0.86,-0.01,-0.0,-1.86,-0.01,-0.04,-0.01
TP53,0.36,1.85,-0.25,-0.36,-0.01,-0.04,-0.49,-0.32,-1.09,0.0,-0.08,-0.0
KRAS,0.01,-0.17,1.61,0.2,0.0,-1.53,-0.13,0.0,-1.23,0.0,-0.0,-0.01
PIK3CA,0.0,-0.21,0.24,0.71,0.0,0.0,-0.0,-0.0,-0.17,-0.0,-0.0,-0.0
FBXW7,-0.0,-0.0,0.0,0.0,-0.06,0.0,0.06,0.0,0.0,-0.0,0.0,0.0
BRAF,-0.71,-0.03,-1.42,0.0,0.0,0.47,0.0,0.0,0.29,0.0,0.0,-0.0
ARID1A,-0.01,-0.35,-0.11,-0.0,0.06,0.0,-0.02,0.0,0.32,-0.0,0.66,0.17
SOX9,0.0,-0.19,0.0,-0.0,0.0,0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0
RNF43,-1.39,-0.72,-0.97,-0.11,0.0,0.25,0.21,-0.0,0.67,-0.0,0.5,0.27
SMAD4,-0.01,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.18,-0.0,0.0
KMT2D,-0.04,-0.07,-0.0,-0.0,0.0,0.0,0.68,-0.0,0.76,-0.0,-0.4,0.09
PTPRS,-0.01,-0.0,-0.01,-0.0,0.0,0.0,0.18,-0.0,0.39,0.0,0.09,-0.51
Observation,0.99,2.22,0.51,0.47,0.0,0.29,0.08,0.15,0.0,0.09,0.24,0.0
