,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.47,0.27,0.06,-0.0,0.0,-1.0,-0.01,-0.0,-1.86,-0.02,-0.38,-0.01
TP53,0.25,1.85,-0.03,-0.6,-0.0,-0.05,-0.04,-0.2,-0.96,-0.0,-0.57,0.0
KRAS,0.07,-0.02,1.53,0.04,0.01,-1.43,-0.14,-0.0,-1.13,0.0,-0.21,-0.0
PIK3CA,-0.0,-0.36,0.05,0.78,-0.0,-0.03,0.0,0.0,-0.0,-0.0,0.0,0.0
FBXW7,0.0,-0.0,0.01,-0.0,0.11,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0
BRAF,-0.96,-0.03,-1.31,-0.02,-0.0,0.64,0.0,0.0,0.19,0.0,0.0,0.0
ARID1A,-0.01,-0.03,-0.13,0.0,0.0,0.0,-0.1,-0.0,0.52,0.0,0.59,0.0
SOX9,-0.0,-0.14,-0.0,0.0,-0.0,0.0,-0.0,-0.04,0.0,-0.0,0.0,0.0
RNF43,-1.44,-0.66,-0.91,-0.0,-0.0,0.17,0.32,0.0,0.77,0.0,0.53,0.29
SMAD4,-0.01,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.16,-0.0,-0.0
KMT2D,-0.33,-0.39,-0.18,0.0,0.0,0.0,0.51,0.0,0.81,-0.0,-0.01,0.0
PTPRS,-0.02,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.45,-0.0,0.01,-0.5
Observation,0.73,2.42,0.78,0.05,0.0,0.31,0.61,0.02,0.0,0.24,0.0,0.0
