,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.21,0.34,0.15,-0.0,-0.0,-1.09,-0.05,-0.0,-1.81,0.0,-0.26,-0.09
TP53,0.35,1.69,-0.08,-0.68,-0.01,-0.0,-0.1,-0.18,-0.92,-0.01,-0.4,-0.0
KRAS,0.19,-0.06,1.33,0.09,-0.0,-1.32,-0.03,0.0,-1.11,0.0,-0.05,-0.04
PIK3CA,-0.0,-0.43,0.1,0.64,-0.0,0.0,0.0,-0.0,-0.0,-0.09,-0.0,0.0
FBXW7,-0.0,-0.01,-0.0,-0.0,-0.1,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
BRAF,-1.01,-0.0,-1.13,0.0,-0.0,0.48,0.0,0.0,0.09,-0.0,0.0,-0.0
ARID1A,-0.05,-0.07,-0.02,0.01,0.0,0.0,-0.33,0.0,0.46,0.0,0.34,0.0
SOX9,-0.0,-0.13,0.0,-0.0,0.0,0.0,-0.0,-0.14,-0.0,-0.0,-0.0,-0.0
RNF43,-1.41,-0.51,-0.8,-0.0,0.0,0.09,0.27,-0.0,0.49,-0.0,0.59,0.18
SMAD4,0.0,-0.0,0.0,-0.09,-0.0,-0.0,-0.0,-0.0,-0.0,-0.26,-0.0,-0.0
KMT2D,-0.24,-0.26,-0.04,-0.0,0.0,0.0,0.29,-0.0,0.87,-0.0,-0.4,0.2
PTPRS,-0.09,-0.0,-0.04,0.0,0.0,-0.0,0.0,-0.0,0.29,0.0,0.23,-0.51
Observation,0.73,2.24,0.9,0.18,0.09,0.19,0.21,0.24,0.0,0.03,0.01,0.0
