,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.56,0.24,0.0,0.0,0.0,-1.03,-0.01,-0.0,-1.78,-0.0,-0.12,-0.15
TP53,0.22,1.98,-0.16,-0.44,-0.0,-0.19,-0.21,-0.26,-0.97,-0.0,-0.11,-0.02
KRAS,0.0,-0.13,1.66,0.05,0.0,-1.51,-0.26,-0.0,-1.14,0.0,-0.04,-0.0
PIK3CA,0.01,-0.26,0.06,0.75,-0.01,-0.0,0.0,-0.0,-0.25,-0.02,0.0,-0.02
FBXW7,0.0,-0.0,0.0,-0.01,0.17,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
BRAF,-0.96,-0.11,-1.33,-0.0,-0.0,0.76,0.0,0.0,0.15,-0.0,0.0,0.0
ARID1A,-0.01,-0.13,-0.24,0.0,0.0,0.0,-0.0,-0.0,0.39,-0.0,0.31,0.16
SOX9,-0.0,-0.18,-0.0,-0.0,-0.0,0.01,-0.0,-0.03,0.0,0.0,0.0,0.0
RNF43,-1.53,-0.57,-0.9,-0.17,-0.0,0.12,0.26,-0.0,0.88,-0.0,0.64,0.12
SMAD4,0.0,-0.0,0.0,-0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.08,-0.0,-0.0
KMT2D,-0.12,-0.08,-0.04,0.0,0.0,0.0,0.3,0.0,1.07,0.0,-0.28,0.0
PTPRS,-0.15,-0.02,-0.0,-0.01,-0.0,0.0,0.15,0.0,0.18,-0.0,0.0,-0.28
Observation,0.56,2.44,0.83,0.56,0.0,0.26,0.46,0.0,0.0,0.21,0.0,0.01
