,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.45,0.38,0.01,-0.0,0.0,-0.96,-0.12,-0.0,-1.89,-0.0,-0.01,-0.15
TP53,0.31,1.93,-0.18,-0.47,-0.0,-0.0,-0.26,-0.16,-0.91,-0.0,-0.21,-0.17
KRAS,0.01,-0.12,1.64,0.01,-0.0,-1.44,-0.0,0.0,-1.12,0.0,-0.0,-0.0
PIK3CA,-0.0,-0.32,0.01,0.78,0.0,-0.01,0.0,-0.0,-0.01,-0.0,-0.0,0.0
FBXW7,0.0,-0.0,-0.0,0.0,0.18,0.0,-0.0,-0.0,0.0,-0.0,0.01,0.0
BRAF,-0.91,-0.0,-1.27,-0.01,0.0,0.59,-0.0,0.0,0.17,0.0,0.0,0.0
ARID1A,-0.1,-0.18,-0.0,0.0,-0.0,-0.0,-0.18,0.0,0.72,0.0,0.26,0.06
SOX9,-0.0,-0.1,0.0,-0.0,-0.0,-0.0,0.0,0.12,-0.0,-0.0,-0.0,0.0
RNF43,-1.47,-0.53,-0.81,-0.01,0.0,0.15,0.47,-0.0,0.77,-0.0,0.64,0.39
SMAD4,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.06,-0.0,-0.0
KMT2D,-0.01,-0.15,-0.0,-0.0,0.01,0.0,0.25,0.0,1.07,-0.0,-0.32,0.01
PTPRS,-0.14,-0.14,-0.0,0.0,0.0,0.0,0.06,0.0,0.65,-0.0,0.01,-0.26
Observation,0.78,2.35,0.79,0.18,0.0,0.33,0.38,0.14,0.0,0.14,0.0,0.0
