,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.31,0.32,0.25,-0.0,0.0,-0.75,-0.0,0.0,-1.86,-0.04,-0.28,-0.01
TP53,0.27,1.9,-0.0,-0.54,-0.05,-0.0,-0.03,-0.23,-1.25,0.0,-0.36,-0.0
KRAS,0.32,-0.0,1.34,0.08,0.0,-1.23,-0.1,-0.0,-1.09,0.0,-0.0,-0.01
PIK3CA,0.0,-0.36,0.09,0.8,0.0,-0.0,0.0,-0.02,-0.01,-0.0,-0.0,-0.0
FBXW7,0.0,-0.03,0.0,0.0,0.14,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
BRAF,-0.73,-0.0,-1.05,-0.0,0.0,0.42,-0.0,-0.0,0.29,0.0,0.0,0.0
ARID1A,-0.0,-0.02,-0.09,0.0,-0.0,-0.0,-0.3,0.0,0.57,0.0,0.29,0.06
SOX9,0.0,-0.17,0.0,-0.02,-0.0,-0.0,0.0,-0.09,0.0,-0.0,0.0,0.0
RNF43,-1.53,-0.82,-0.75,-0.0,0.0,0.25,0.36,0.0,0.65,-0.0,0.64,0.22
SMAD4,-0.03,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.15,-0.0,-0.0
KMT2D,-0.26,-0.26,-0.0,-0.0,-0.0,0.0,0.24,0.0,0.93,-0.0,-0.43,0.28
PTPRS,-0.01,-0.0,-0.01,-0.0,-0.0,0.0,0.05,0.0,0.34,-0.0,0.32,-0.41
Observation,0.75,2.11,1.04,0.15,0.0,0.41,0.48,0.01,0.0,0.15,0.01,0.05
