,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.27,0.43,0.23,-0.01,0.0,-0.86,-0.03,-0.0,-1.81,-0.0,-0.03,-0.06
TP53,0.39,1.85,-0.0,-0.76,0.0,-0.01,-0.17,-0.18,-0.83,-0.0,-0.48,-0.03
KRAS,0.28,-0.0,1.32,0.12,0.0,-1.06,-0.01,-0.0,-0.95,0.0,-0.38,-0.0
PIK3CA,-0.0,-0.54,0.11,0.72,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FBXW7,0.0,0.0,0.0,-0.0,-0.04,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0
BRAF,-0.78,-0.0,-0.92,-0.0,0.0,0.32,-0.0,0.0,0.28,-0.0,0.0,0.0
ARID1A,-0.02,-0.13,-0.01,0.0,0.0,-0.0,-0.25,0.0,0.44,-0.0,0.38,0.21
SOX9,0.0,-0.12,-0.0,-0.0,-0.0,0.0,0.0,-0.07,-0.0,-0.0,0.01,0.0
RNF43,-1.42,-0.48,-0.69,-0.0,0.0,0.24,0.31,-0.0,0.43,0.0,0.77,0.09
SMAD4,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.17,-0.0,-0.0
KMT2D,-0.02,-0.33,-0.3,0.0,-0.0,0.0,0.34,0.01,1.12,-0.0,-0.2,0.03
PTPRS,-0.05,-0.02,-0.0,-0.0,0.0,0.0,0.22,0.0,0.14,0.0,0.04,-0.43
Observation,0.85,2.04,1.0,0.02,-0.0,0.62,0.38,0.0,-0.0,0.08,0.0,0.0
