,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.5,0.25,0.11,0.0,-0.0,-0.91,-0.0,-0.0,-1.91,-0.16,-0.02,-0.23
TP53,0.23,1.96,-0.0,-0.66,-0.0,-0.0,-0.25,-0.23,-1.05,-0.0,-0.24,-0.23
KRAS,0.13,-0.0,1.39,0.0,-0.0,-0.94,-0.12,0.0,-1.11,0.02,-0.02,-0.0
PIK3CA,0.0,-0.47,0.0,0.76,-0.0,-0.0,-0.0,-0.0,-0.01,-0.08,0.0,-0.0
FBXW7,0.0,-0.0,-0.0,-0.0,0.05,0.0,-0.0,0.0,-0.0,-0.0,0.01,0.0
BRAF,-0.87,-0.0,-0.81,-0.0,0.0,0.49,0.0,-0.0,0.19,-0.0,0.0,0.0
ARID1A,-0.0,-0.18,-0.1,0.0,-0.0,0.0,-0.12,0.0,0.55,-0.0,0.46,0.04
SOX9,-0.0,-0.14,0.0,-0.0,0.0,-0.0,0.0,-0.02,0.0,0.0,0.0,0.0
RNF43,-1.51,-0.62,-0.8,-0.0,-0.0,0.16,0.37,0.0,0.84,-0.0,0.41,0.36
SMAD4,-0.14,-0.0,0.02,-0.09,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0
KMT2D,-0.01,-0.2,-0.02,0.0,0.02,0.0,0.47,0.0,0.67,-0.0,-0.27,0.05
PTPRS,-0.23,-0.19,-0.0,0.0,0.0,0.0,0.04,0.0,0.56,-0.0,0.05,-0.29
Observation,0.73,2.22,1.03,0.12,0.01,0.57,0.17,0.06,0.0,0.26,0.0,0.0
