,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.44,0.32,0.04,-0.0,-0.0,-1.14,-0.06,0.0,-1.96,-0.0,-0.25,-0.0
TP53,0.36,1.76,-0.01,-0.58,0.0,-0.02,-0.03,-0.15,-0.94,0.0,-0.18,-0.23
KRAS,0.06,-0.0,1.34,0.16,0.0,-1.35,-0.0,-0.0,-0.86,0.0,-0.01,-0.0
PIK3CA,-0.0,-0.37,0.18,0.62,-0.0,-0.0,0.0,0.0,-0.06,-0.0,-0.0,-0.0
FBXW7,-0.0,0.0,0.0,-0.0,0.07,-0.0,-0.0,-0.0,-0.0,-0.01,-0.0,-0.0
BRAF,-1.09,-0.01,-1.12,-0.0,-0.0,0.53,0.0,0.0,0.01,-0.0,0.0,0.02
ARID1A,-0.05,-0.03,-0.0,0.0,-0.0,0.0,-0.34,-0.0,0.46,-0.04,0.35,0.16
SOX9,0.0,-0.1,-0.0,0.0,-0.0,0.0,-0.0,-0.18,-0.0,-0.0,0.0,0.0
RNF43,-1.69,-0.6,-0.56,-0.04,-0.0,0.01,0.29,-0.0,0.65,-0.0,0.54,0.35
SMAD4,-0.0,0.0,-0.0,-0.0,-0.01,-0.0,-0.04,-0.0,-0.0,-0.21,-0.0,0.0
KMT2D,-0.25,-0.13,-0.0,-0.0,-0.0,0.0,0.34,0.0,0.91,-0.0,-0.34,0.13
PTPRS,-0.0,-0.16,-0.0,-0.0,-0.0,0.02,0.16,0.0,0.56,0.0,0.13,-0.55
Observation,0.48,2.19,0.98,0.31,0.01,0.45,0.26,0.13,0.01,0.16,0.02,0.0
