,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.41,0.26,0.0,-0.0,0.0,-0.88,-0.0,-0.0,-1.63,-0.0,-0.24,-0.1
TP53,0.24,1.73,-0.09,-0.29,-0.0,-0.0,-0.07,-0.17,-1.01,0.0,-0.36,-0.0
KRAS,0.0,-0.07,1.42,0.08,0.0,-1.32,-0.01,0.0,-0.88,0.0,-0.24,-0.0
PIK3CA,-0.0,-0.19,0.08,0.63,0.0,0.0,0.0,-0.03,-0.02,-0.0,-0.0,0.0
FBXW7,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.02,-0.0,-0.0
BRAF,-0.84,-0.0,-1.19,0.0,0.0,0.45,0.0,0.0,0.46,-0.0,0.0,0.0
ARID1A,-0.0,-0.05,-0.01,0.0,-0.0,0.0,-0.43,-0.0,0.96,0.0,0.33,0.08
SOX9,-0.0,-0.11,0.0,-0.03,-0.0,0.0,-0.0,-0.08,-0.0,-0.0,0.0,0.0
RNF43,-1.43,-0.66,-0.68,-0.02,-0.0,0.39,0.63,-0.0,0.67,-0.0,0.68,0.26
SMAD4,-0.0,0.0,0.0,-0.0,-0.02,-0.0,0.0,-0.0,-0.0,-0.18,-0.0,-0.0
KMT2D,-0.23,-0.26,-0.22,-0.0,0.0,0.0,0.3,0.0,1.03,-0.0,-0.2,0.21
PTPRS,-0.11,-0.0,-0.0,0.0,-0.0,0.0,0.09,0.0,0.43,-0.0,0.24,-0.53
Observation,0.69,2.22,0.68,0.39,0.0,0.37,0.32,0.07,0.01,0.28,0.0,0.0
