,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.37,0.24,0.19,-0.0,-0.0,-0.89,-0.01,0.0,-1.93,-0.0,-0.07,-0.1
TP53,0.22,1.89,-0.09,-0.5,-0.0,-0.01,-0.01,-0.41,-1.09,-0.0,-0.11,-0.18
KRAS,0.22,-0.07,1.4,0.1,0.0,-1.4,-0.19,-0.0,-1.1,0.0,-0.03,-0.0
PIK3CA,0.0,-0.34,0.1,0.62,-0.0,-0.0,-0.0,-0.0,-0.07,-0.0,-0.0,-0.0
FBXW7,0.0,-0.0,0.0,-0.0,0.14,-0.0,-0.0,-0.0,0.0,-0.0,0.15,0.0
BRAF,-0.77,-0.01,-1.21,-0.0,-0.0,0.56,0.0,0.01,0.31,0.0,0.0,-0.0
ARID1A,-0.01,-0.0,-0.18,-0.0,-0.0,0.0,-0.28,0.0,0.53,-0.0,0.29,0.25
SOX9,0.0,-0.25,-0.0,-0.0,-0.0,0.01,0.0,0.02,-0.0,-0.0,0.0,-0.0
RNF43,-1.57,-0.62,-0.84,-0.05,0.0,0.25,0.31,-0.0,0.62,-0.0,0.51,0.24
SMAD4,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.09,-0.0,0.0
KMT2D,-0.07,-0.08,-0.03,-0.0,0.16,0.0,0.28,0.0,0.82,-0.0,-0.43,0.18
PTPRS,-0.1,-0.13,-0.0,0.0,0.0,-0.0,0.24,-0.0,0.36,0.0,0.18,-0.29
Observation,0.75,2.18,0.88,0.32,-0.0,0.22,0.28,0.0,0.0,0.1,0.24,0.0
