,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.29,0.46,0.03,-0.0,-0.0,-0.98,-0.0,-0.17,-1.65,-0.0,-0.13,-0.01
TP53,0.41,1.79,-0.34,-0.47,-0.04,-0.02,-0.0,-0.06,-1.1,-0.01,-0.32,-0.0
KRAS,0.04,-0.21,1.6,0.0,0.01,-1.46,-0.1,0.0,-0.92,0.0,-0.27,-0.12
PIK3CA,0.0,-0.26,0.0,0.61,0.0,-0.0,-0.0,-0.0,-0.06,-0.0,-0.0,-0.0
FBXW7,-0.0,-0.03,0.01,0.0,0.08,0.0,-0.0,0.0,0.0,0.0,0.02,0.0
BRAF,-0.86,-0.01,-1.32,-0.0,0.0,0.56,-0.0,0.0,0.24,0.0,-0.0,0.0
ARID1A,-0.0,-0.0,-0.1,-0.0,-0.0,0.0,-0.31,-0.0,0.6,-0.0,0.7,0.04
SOX9,-0.12,-0.05,0.0,-0.0,0.0,0.0,-0.0,-0.06,-0.0,0.0,-0.0,-0.0
RNF43,-1.3,-0.64,-0.72,-0.04,0.0,0.23,0.45,-0.0,0.52,-0.0,0.72,0.26
SMAD4,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.22,0.0,-0.0
KMT2D,-0.13,-0.22,-0.24,-0.0,0.03,-0.0,0.67,-0.0,1.05,0.0,-0.33,0.24
PTPRS,-0.01,-0.0,-0.12,0.0,0.0,0.0,0.04,-0.0,0.4,-0.0,0.27,-0.37
Observation,0.91,2.16,0.44,0.36,0.0,0.27,0.37,0.2,0.0,0.24,0.0,0.03
