,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.32,0.24,0.18,-0.0,0.0,-0.92,-0.08,0.0,-2.18,-0.0,-0.13,-0.0
TP53,0.2,1.78,-0.0,-0.65,-0.0,-0.0,-0.38,-0.56,-1.0,0.0,-0.18,-0.0
KRAS,0.21,-0.0,1.09,0.22,-0.0,-1.26,-0.0,-0.0,-1.19,0.0,-0.01,-0.01
PIK3CA,0.0,-0.45,0.23,0.53,0.0,-0.0,0.0,0.0,-0.15,-0.05,-0.0,-0.0
FBXW7,0.0,-0.0,-0.0,0.0,-0.14,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
BRAF,-0.93,-0.0,-1.07,0.0,-0.0,0.32,0.0,0.0,0.18,-0.0,0.0,0.0
ARID1A,-0.09,-0.29,-0.0,0.0,-0.0,0.0,-0.35,-0.0,0.57,-0.0,0.47,0.0
SOX9,0.0,-0.38,0.0,0.0,-0.0,0.0,-0.0,-0.2,0.0,-0.0,0.0,0.0
RNF43,-1.79,-0.65,-0.85,-0.1,-0.0,0.16,0.38,0.0,0.54,-0.0,0.65,0.25
SMAD4,-0.0,0.0,0.0,-0.05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.29,-0.0,-0.0
KMT2D,-0.13,-0.12,-0.01,0.0,0.0,0.0,0.47,0.0,0.99,-0.0,-0.51,0.08
PTPRS,-0.0,-0.0,-0.01,-0.0,-0.0,0.0,0.0,0.0,0.39,-0.0,0.08,-0.67
Observation,0.6,1.91,1.11,0.03,0.02,0.41,0.14,0.0,0.0,0.12,0.01,0.07
