,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.37,0.08,0.01,-0.0,0.0,-0.93,-0.0,-0.02,-1.91,0.0,-0.13,-0.01
TP53,0.07,1.96,-0.1,-0.59,0.0,-0.0,-0.17,-0.19,-1.19,-0.0,-0.1,-0.08
KRAS,0.01,-0.08,1.39,0.19,-0.0,-1.28,-0.0,-0.0,-1.04,0.0,-0.04,-0.0
PIK3CA,-0.0,-0.4,0.2,0.56,-0.0,-0.0,-0.0,-0.0,-0.0,-0.05,0.0,0.0
FBXW7,0.0,0.0,-0.0,-0.0,0.02,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0
BRAF,-0.88,-0.0,-1.12,-0.0,0.0,0.48,-0.0,0.0,0.23,-0.0,-0.0,-0.0
ARID1A,-0.0,-0.12,-0.0,0.0,-0.0,0.0,-0.28,-0.0,0.28,-0.0,0.67,0.13
SOX9,-0.02,-0.13,-0.0,-0.0,0.0,0.0,-0.0,-0.17,-0.0,0.0,0.0,0.0
RNF43,-1.5,-0.74,-0.74,-0.0,0.0,0.21,0.19,-0.0,0.61,-0.0,0.6,0.22
SMAD4,0.0,-0.0,0.0,-0.06,-0.0,-0.0,-0.0,0.0,-0.0,-0.18,-0.0,-0.0
KMT2D,-0.12,-0.08,-0.03,0.0,0.0,0.0,0.59,0.0,0.93,-0.0,-0.44,0.43
PTPRS,-0.01,-0.06,-0.0,0.0,-0.0,-0.0,0.14,0.0,0.33,-0.0,0.49,-0.52
Observation,0.83,1.95,0.75,0.25,0.0,0.4,0.38,0.0,0.0,0.07,0.0,0.02
