,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.37,0.4,0.01,-0.0,0.01,-0.88,-0.0,-0.0,-2.18,-0.07,-0.17,-0.0
TP53,0.38,1.74,-0.12,-0.37,-0.0,-0.01,-0.03,-0.29,-1.16,-0.0,-0.16,-0.0
KRAS,0.01,-0.09,1.41,0.06,-0.0,-1.22,-0.0,0.0,-1.27,0.12,-0.06,-0.0
PIK3CA,0.0,-0.24,0.06,0.56,-0.0,-0.0,-0.0,-0.0,-0.21,-0.0,-0.0,-0.0
FBXW7,0.01,-0.0,-0.0,-0.0,0.09,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
BRAF,-0.86,-0.0,-1.09,0.0,0.0,0.32,0.0,0.0,0.29,-0.0,0.0,0.0
ARID1A,-0.0,-0.02,-0.0,0.0,-0.0,0.0,-0.37,0.0,0.71,0.0,0.39,0.0
SOX9,-0.0,-0.21,0.0,-0.0,-0.0,0.0,0.0,-0.07,0.0,-0.0,-0.0,-0.0
RNF43,-1.71,-0.65,-0.95,-0.15,-0.0,0.22,0.44,0.0,0.71,-0.0,0.44,0.42
SMAD4,-0.06,-0.0,0.13,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.15,-0.0,-0.0
KMT2D,-0.18,-0.11,-0.05,-0.0,0.0,0.0,0.36,-0.0,0.73,0.0,-0.34,0.18
PTPRS,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.68,0.0,0.19,-0.66
Observation,0.75,2.22,0.78,0.14,0.0,0.34,0.46,0.01,0.0,0.23,0.01,0.0
