,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.21,0.6,0.08,-0.0,0.0,-0.83,-0.08,-0.0,-1.87,-0.0,-0.2,-0.09
TP53,0.47,1.69,-0.09,-0.31,-0.21,-0.13,-0.13,-0.31,-1.04,-0.0,-0.33,-0.01
KRAS,0.1,-0.06,1.51,0.01,-0.0,-1.53,-0.07,0.0,-1.1,0.0,-0.2,-0.0
PIK3CA,0.0,-0.17,0.01,0.59,-0.0,-0.0,-0.0,-0.0,-0.05,-0.0,0.0,-0.0
FBXW7,0.0,-0.14,-0.0,-0.0,0.1,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
BRAF,-0.74,-0.09,-1.35,-0.0,0.0,0.46,0.0,-0.0,0.22,0.0,-0.0,0.0
ARID1A,-0.07,-0.09,-0.07,0.0,0.0,0.0,-0.23,0.0,0.38,-0.0,0.36,0.26
SOX9,-0.0,-0.23,0.0,-0.0,-0.0,-0.0,0.0,-0.11,0.0,-0.0,0.0,0.0
RNF43,-1.43,-0.64,-0.82,-0.04,-0.0,0.19,0.26,0.0,0.58,-0.0,0.47,0.13
SMAD4,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.23,-0.0,0.0
KMT2D,-0.18,-0.23,-0.16,0.0,0.0,-0.0,0.32,0.0,0.68,-0.0,-0.11,0.17
PTPRS,-0.08,-0.01,-0.0,-0.0,-0.0,0.0,0.26,0.0,0.2,0.0,0.19,-0.43
Observation,0.84,2.24,0.61,0.25,0.09,0.26,0.28,0.07,0.0,0.19,0.0,0.0
