,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.52,0.23,0.1,-0.0,-0.0,-1.09,-0.21,-0.07,-1.93,0.0,-0.06,-0.01
TP53,0.2,1.95,-0.0,-0.58,-0.0,-0.0,-0.07,-0.51,-1.02,-0.01,-0.26,-0.3
KRAS,0.12,-0.0,1.45,-0.0,0.0,-1.18,-0.0,-0.0,-1.03,0.0,-0.01,-0.01
PIK3CA,0.0,-0.36,-0.0,0.69,0.03,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.0
FBXW7,0.0,-0.0,0.0,0.03,0.11,-0.01,0.0,-0.0,-0.0,-0.0,0.0,-0.0
BRAF,-1.09,-0.0,-1.01,0.0,-0.0,0.53,-0.0,-0.0,0.05,-0.0,0.0,0.0
ARID1A,-0.19,-0.06,-0.0,0.0,0.0,-0.0,-0.12,0.0,0.16,-0.0,0.49,0.01
SOX9,-0.06,-0.39,-0.0,0.0,-0.0,-0.0,0.0,0.13,0.0,0.0,0.0,0.0
RNF43,-1.62,-0.56,-0.73,-0.0,-0.0,0.05,0.1,0.0,0.64,-0.0,0.69,0.28
SMAD4,0.0,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.2,-0.0,-0.0
KMT2D,-0.06,-0.2,-0.01,0.0,0.0,0.0,0.45,0.0,1.06,-0.0,-0.46,0.4
PTPRS,-0.02,-0.23,-0.01,-0.0,0.0,0.0,0.01,0.0,0.45,-0.0,0.45,-0.44
Observation,0.57,2.19,1.11,0.42,-0.0,0.44,0.13,0.12,0.0,0.0,0.0,0.03
