,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.35,0.3,0.01,-0.0,-0.0,-1.0,-0.0,-0.0,-1.9,-0.0,-0.18,-0.05
TP53,0.34,1.67,-0.13,-0.27,-0.12,-0.03,-0.02,-0.23,-1.06,0.0,-0.16,-0.0
KRAS,0.01,-0.1,1.43,0.2,0.0,-1.39,-0.0,0.0,-1.19,-0.0,-0.01,-0.01
PIK3CA,0.0,-0.18,0.23,0.53,-0.0,-0.0,-0.0,-0.0,-0.02,-0.0,-0.01,0.0
FBXW7,-0.0,-0.08,0.0,-0.0,0.08,0.0,-0.0,-0.0,0.0,-0.0,0.04,0.0
BRAF,-0.88,-0.02,-1.23,-0.0,0.0,0.42,0.0,0.0,0.22,-0.0,-0.0,0.0
ARID1A,-0.0,-0.01,-0.0,0.0,-0.0,0.0,-0.27,-0.0,0.3,-0.0,0.26,0.22
SOX9,-0.0,-0.17,0.0,-0.0,-0.0,0.0,-0.0,-0.14,0.0,0.0,0.0,-0.01
RNF43,-1.43,-0.57,-0.84,-0.01,0.0,0.19,0.2,0.0,0.57,-0.0,0.53,0.19
SMAD4,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.16,-0.0,-0.0
KMT2D,-0.17,-0.11,-0.0,-0.0,0.04,-0.0,0.23,0.0,0.78,-0.0,-0.27,0.13
PTPRS,-0.06,-0.0,-0.01,0.0,0.0,0.0,0.21,-0.01,0.29,-0.0,0.15,-0.54
Observation,0.71,2.22,0.65,0.42,0.0,0.2,0.35,0.14,0.0,0.18,0.01,0.0
