,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.25,0.43,0.13,-0.0,0.04,-0.98,-0.1,-0.0,-1.73,-0.0,-0.2,-0.1
TP53,0.29,1.85,-0.01,-0.61,-0.01,-0.01,-0.14,-0.27,-1.13,-0.0,-0.37,-0.0
KRAS,0.16,-0.01,1.31,0.03,-0.0,-1.19,-0.02,-0.0,-1.02,0.21,-0.03,-0.0
PIK3CA,-0.0,-0.41,0.03,0.78,0.0,-0.0,-0.0,-0.13,-0.32,-0.0,-0.0,-0.0
FBXW7,0.03,-0.0,-0.0,0.0,0.11,0.0,0.0,0.0,0.0,-0.11,0.02,0.0
BRAF,-0.91,-0.01,-1.03,-0.0,-0.0,0.47,0.0,0.0,0.2,-0.0,0.0,0.0
ARID1A,-0.09,-0.1,-0.02,0.0,0.0,0.0,-0.31,0.0,0.66,-0.0,0.51,0.11
SOX9,-0.0,-0.18,-0.0,-0.12,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
RNF43,-1.3,-0.67,-0.75,-0.22,0.0,0.17,0.4,-0.0,0.57,-0.05,0.66,0.16
SMAD4,-0.0,-0.0,0.19,-0.0,-0.14,-0.0,-0.0,-0.0,-0.07,-0.23,-0.01,-0.0
KMT2D,-0.17,-0.26,-0.02,-0.0,0.02,0.0,0.43,-0.0,0.93,-0.01,-0.27,0.02
PTPRS,-0.1,-0.0,-0.0,0.0,0.0,0.0,0.11,0.0,0.26,-0.0,0.03,-0.32
Observation,0.71,2.08,0.93,0.17,0.0,0.52,0.24,0.0,0.0,0.23,0.01,0.0
