,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.13,0.04,0.0,-0.0,0.0,-0.85,-0.01,-0.0,-1.63,-0.0,-0.2,-0.0
TP53,0.04,1.73,-0.16,-0.52,-0.01,-0.0,-0.26,-0.01,-0.98,-0.0,-0.11,-0.0
KRAS,0.0,-0.12,1.18,0.0,-0.0,-0.86,-0.01,0.0,-0.94,0.0,-0.0,-0.0
PIK3CA,-0.0,-0.37,0.0,0.45,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0
FBXW7,0.0,-0.01,-0.0,-0.0,-0.05,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
BRAF,-0.82,-0.0,-0.79,-0.0,0.0,0.15,-0.0,-0.0,0.0,-0.0,-0.0,0.0
ARID1A,-0.01,-0.19,-0.01,0.0,0.0,0.0,-0.34,-0.0,0.18,0.0,0.19,0.0
SOX9,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.31,-0.0,0.0,0.0,-0.0
RNF43,-1.27,-0.59,-0.71,-0.0,0.0,0.0,0.12,-0.0,0.35,-0.0,0.37,0.0
SMAD4,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.36,-0.0,-0.0
KMT2D,-0.18,-0.08,-0.0,0.0,0.0,0.0,0.18,0.0,0.53,-0.0,-0.44,0.0
PTPRS,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.68
Observation,0.68,1.75,0.74,0.07,0.0,0.37,0.01,0.0,0.0,0.0,0.0,0.0
