,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.26,0.35,0.2,0.0,-0.0,-0.8,-0.0,-0.0,-1.94,-0.0,-0.01,-0.0
TP53,0.3,1.94,-0.0,-0.62,0.0,-0.0,-0.11,-0.52,-1.15,0.0,-0.46,-0.0
KRAS,0.24,-0.0,1.37,0.01,-0.0,-0.94,-0.08,0.0,-0.99,0.01,-0.16,-0.04
PIK3CA,0.0,-0.45,0.01,0.81,-0.0,-0.0,-0.0,-0.0,-0.22,-0.01,-0.0,-0.0
FBXW7,-0.0,0.0,-0.0,-0.0,0.06,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
BRAF,-0.8,-0.0,-0.86,-0.0,0.0,0.38,0.0,-0.0,0.01,-0.0,0.0,0.0
ARID1A,-0.0,-0.09,-0.06,0.0,-0.0,0.0,-0.18,-0.0,0.6,-0.01,0.23,0.16
SOX9,-0.0,-0.39,0.0,0.0,-0.0,-0.0,-0.0,0.01,0.01,0.0,0.0,0.0
RNF43,-1.45,-0.78,-0.66,-0.15,0.0,0.01,0.39,0.01,0.6,-0.0,0.76,0.25
SMAD4,-0.0,0.0,0.01,-0.01,-0.0,-0.0,-0.01,0.0,-0.01,-0.2,-0.02,-0.0
KMT2D,-0.01,-0.33,-0.12,-0.0,0.0,0.0,0.21,0.0,1.11,-0.01,-0.37,0.01
PTPRS,-0.0,-0.0,-0.04,0.0,0.0,0.0,0.17,0.0,0.38,-0.0,0.01,-0.43
Observation,0.89,1.98,1.04,0.0,0.0,0.75,0.4,0.0,-0.0,0.02,0.0,0.0
