,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.51,0.23,0.0,0.0,-0.0,-0.91,-0.03,0.0,-2.13,-0.0,-0.01,-0.13
TP53,0.23,1.91,-0.0,-0.74,-0.0,-0.0,-0.21,-0.16,-1.1,-0.0,-0.31,-0.01
KRAS,0.0,-0.0,1.57,0.01,0.0,-1.75,-0.0,-0.0,-1.03,0.0,-0.02,-0.0
PIK3CA,0.0,-0.47,0.01,0.79,-0.0,-0.0,-0.0,0.0,-0.07,-0.1,-0.0,-0.0
FBXW7,0.0,-0.0,0.0,-0.0,0.13,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0
BRAF,-0.91,-0.0,-1.52,-0.0,-0.0,0.49,0.0,0.0,0.27,-0.0,0.0,0.0
ARID1A,-0.03,-0.18,-0.0,0.0,-0.0,0.0,-0.19,-0.0,0.62,0.0,0.14,0.0
SOX9,0.0,-0.12,-0.0,0.0,0.0,0.0,-0.0,-0.02,-0.0,0.0,-0.0,-0.0
RNF43,-1.62,-0.56,-0.72,-0.05,-0.0,0.23,0.4,0.0,0.78,0.0,0.53,0.31
SMAD4,-0.0,-0.0,0.0,-0.1,-0.0,-0.0,-0.0,0.0,0.0,-0.13,-0.0,-0.0
KMT2D,-0.01,-0.23,-0.01,0.0,0.0,0.0,0.14,-0.0,0.94,-0.0,-0.36,0.14
PTPRS,-0.13,-0.01,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.46,0.0,0.14,-0.28
Observation,0.78,2.17,0.9,0.07,0.01,0.3,0.31,0.13,0.0,0.1,0.2,0.02
